epoch,train/imitation_l1,train/loss,train/smoothness,val/imitation_l1,val/loss,val/smoothness
0,0.21117545992878262,0.480455655337299,0.07153159007798261,0.20259103560447692,0.46040791747305126,0.053022656195693546
1,0.1956173550277907,0.43886806110568516,0.047929209027786183,0.19835443150997162,0.44408937931060793,0.04917195044457912
2,0.1896644461930187,0.4212308187780703,0.047402040893000257,0.1902531743446986,0.4262594871785906,0.049620757290058666
3,0.18482116872842758,0.41016724637361074,0.04741278495680063,0.1869752451048957,0.41854851004812454,0.04872580364180936
4,0.1816261327415145,0.4031855663449238,0.04753249213077389,0.18510660360919104,0.41319419156180487,0.04813061508867476
5,0.17917831219109792,0.3972557020926103,0.04762213433577058,0.1821512130631341,0.4094458728366428,0.05051195475955804
6,0.177334076696044,0.39237364865346114,0.047673426852746545,0.1799985122150845,0.4044607748190562,0.048944880722297565
7,0.17587665966092467,0.3889971338455492,0.04775945914927285,0.1789853676425086,0.39980225981606377,0.05065941780143314
8,0.17461989913816908,0.38648615045836376,0.04785823147102563,0.17824834769301945,0.3995889037715064,0.05014425374733077
9,0.17370795457229757,0.3838987997908865,0.047904429664748074,0.17675820446014404,0.3950757383505503,0.050334309049778515
10,0.17273040790494476,0.38224540012265457,0.04800615408410872,0.17689965348773531,0.39183872437477113,0.050268004596233366
11,0.17226089463212269,0.3797109792074165,0.04791879676500371,0.17549054612053766,0.3935337335533566,0.050769623281227215
12,0.1715645940967359,0.37848485234250756,0.047973476582631853,0.17526106911235387,0.39064363159073723,0.04984131865865654
13,0.17095407582326094,0.37754148536901694,0.0480455550101714,0.17441388769944507,0.3898798513147566,0.050404038586550286
14,0.17058049475346707,0.3762790463315472,0.04806111563997828,0.17425032054053413,0.38914570127593145,0.04946861839625571
15,0.17014879048795514,0.3757471595888059,0.04812855342409313,0.17426359878646003,0.387188352505366,0.050098397730125324
16,0.17003968005908246,0.3746283860999762,0.04805825159092104,0.1738905331161287,0.3870648488468594,0.05031585697498586
17,0.16970371425352118,0.3744549109639328,0.048126996911798545,0.17384769858254326,0.38550009854634604,0.05053327300813463
18,0.1696442145810789,0.37394930627016615,0.0480778216623487,0.17328664247194925,0.3868230480617947,0.050301113751199514
19,0.16968987397606558,0.3734306123805013,0.0480582142492856,0.17359277109305063,0.3853409611913893,0.0502544791996479
