epoch,train/loss,train/primitive_accuracy,val/loss,val/perplexity,val/primitive_accuracy,val/topk_accuracy
0,1.4965031643918016,0.8299454667879897,2.5035757526967197,12.226133521977717,0.7449891390676182,0.8938832938388626
1,0.6932990050270297,0.9353385025976078,3.832833153800377,46.19322553065674,0.6578482919112201,0.8520623518957346
2,0.4196587945611997,0.9747515370972105,4.330037776045325,75.94715549818697,0.6756825138466053,0.8699891390676182
3,0.33697264200851174,0.9820703109220636,4.656130569523545,105.22812047963913,0.6806995458371267,0.8727537519982641
4,0.29297426298189994,0.9851245387453874,4.899130297074386,134.17303824320857,0.6414519155053731,0.8707728574485011
5,0.25994042374299714,0.9873150229673984,4.81412727544658,123.23921147826285,0.7072102093442356,0.8892241805368125
6,0.23577843645256666,0.9891955225355825,4.970515217543778,144.1011116692573,0.7011502765083765,0.8895142180094787
7,0.21724188522203508,0.9904969194781233,5.109395454421428,165.5702298613065,0.6863398499680922,0.8894401658767772
8,0.2007378511932032,0.9915615115972588,5.236119266228653,187.93934282641453,0.67451002176904,0.8874407582938388
9,0.18809462049519413,0.9924613699261993,5.371995647512906,215.29208639403979,0.6848156101895735,0.8856943621878376
10,0.17691597567049372,0.9933262223247232,5.412381215683092,224.16473724449568,0.6963554009159595,0.8900140699052133
