primitive_id,primitive_index,primitive_family,primitive_family_index
primitive_000,0,single_note,0
primitive_001,1,chordal,1
primitive_002,2,single_note,0
primitive_003,3,single_note,0
primitive_004,4,transition,3
primitive_005,5,sustain,2
primitive_006,6,sustain,2
primitive_007,7,sustain,2
primitive_008,8,transition,3
primitive_009,9,transition,3
primitive_010,10,single_note,0
primitive_011,11,transition,3
primitive_012,12,sustain,2
primitive_013,13,transition,3
primitive_014,14,single_note,0
primitive_015,15,single_note,0
primitive_016,16,transition,3
primitive_017,17,single_note,0
primitive_018,18,transition,3
primitive_019,19,transition,3
primitive_020,20,single_note,0
primitive_021,21,single_note,0
primitive_022,22,sustain,2
primitive_023,23,single_note,0
primitive_024,24,single_note,0
primitive_025,25,transition,3
primitive_026,26,transition,3
primitive_027,27,transition,3
primitive_028,28,sustain,2
primitive_029,29,single_note,0
primitive_030,30,single_note,0
primitive_031,31,single_note,0
primitive_032,32,sustain,2
primitive_033,33,single_note,0
primitive_034,34,single_note,0
primitive_035,35,transition,3
primitive_036,36,single_note,0
primitive_037,37,single_note,0
primitive_038,38,single_note,0
primitive_039,39,sustain,2
